Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"PA2","OffPage","main","3","SCHEMATIC1","J3.33","560","410","3B","[4,6]"
"PC6","OffPage","stm32_core","6","SCHEMATIC1","U8A.63","180","320","5C","[1,3]"
"PC6","OffPage","main","3","SCHEMATIC1","J2.2","210","250","4C","[1,6]"
"PC6","OffPage","camera","1","SCHEMATIC1","CAMERA1.19","550","340","3C","[3,6]"
"PC1","OffPage","stm32_core","6","SCHEMATIC1","U8A.16","180","270","5C","[2,3]"
"PC1","OffPage","lcd","2","SCHEMATIC1","R30.1","440","280","3C","[3,6]"
"PC1","OffPage","main","3","SCHEMATIC1","J3.40","450","440","3B","[2,6]"
"PA15","OffPage","stm32_core","6","SCHEMATIC1","U8A.77","180","240","5C","[3,8]"
"PA15","OffPage","main","3","SCHEMATIC1","J2.9","320","290","4C","[6,8]"
"PA15","OffPage","store","8","SCHEMATIC1","U6.1","180","100","5D","[3,6]"
"PA5","OffPage","stm32_core","6","SCHEMATIC1","U8A.29","180","130","5D","[3,8]"
"PA5","OffPage","store","8","SCHEMATIC1","U6.6","340","120","4D","[3,6]"
"PA5","OffPage","main","3","SCHEMATIC1","J3.32","450","400","3B","[6,8]"
"PC4","OffPage","stm32_core","6","SCHEMATIC1","U8A.32","180","300","5C","[3]"
"PC4","OffPage","main","3","SCHEMATIC1","J3.27","560","380","3B","[6]"
"PA7","OffPage","stm32_core","6","SCHEMATIC1","U8A.31","180","150","5D","[3,8]"
"PA7","OffPage","store","8","SCHEMATIC1","U6.5","340","130","4D","[3,6]"
"PA7","OffPage","main","3","SCHEMATIC1","J3.30","450","390","3B","[6,8]"
"PC2","OffPage","stm32_core","6","SCHEMATIC1","U8A.17","180","280","5C","[2,3]"
"PC2","OffPage","lcd","2","SCHEMATIC1","TOUCH1.5","350","170","4C","[3,6]"
"PC2","OffPage","main","3","SCHEMATIC1","J3.37","560","430","3B","[2,6]"
"PA1","OffPage","stm32_core","6","SCHEMATIC1","U8A.23","180","90","5D","[3,8]"
"PA1","OffPage","store","8","SCHEMATIC1","U7.7","340","250","4C","[3,6]"
"PA1","OffPage","main","3","SCHEMATIC1","J3.36","450","420","3B","[6,8]"
"PD4","OffPage","stm32_core","6","SCHEMATIC1","U8A.85","450","300","3C","[2,3]"
"PD4","OffPage","main","3","SCHEMATIC1","J2.17","320","330","4C","[2,6]"
"PD4","OffPage","lcd","2","SCHEMATIC1","LCD1.20","690","300","2C","[3,6]"
"PB10","OffPage","stm32_core","6","SCHEMATIC1","U8A.46","450","190","3C","[1,3]"
"PB10","OffPage","main","3","SCHEMATIC1","J3.13","560","310","3C","[1,6]"
"PB10","OffPage","camera","1","SCHEMATIC1","CAMERA1.5","550","200","3C","[3,6]"
"PB13","OffPage","stm32_core","6","SCHEMATIC1","U8A.52","450","220","3C","[3]"
"PB13","OffPage","main","3","SCHEMATIC1","J3.12","450","300","3C","[6]"
"PD5","OffPage","stm32_core","6","SCHEMATIC1","U8A.86","450","310","3C","[2,3]"
"PD5","OffPage","main","3","SCHEMATIC1","J2.20","210","340","4C","[2,6]"
"PD5","OffPage","lcd","2","SCHEMATIC1","LCD1.19","690","290","2C","[3,6]"
"PB15","OffPage","stm32_core","6","SCHEMATIC1","U8A.54","450","240","3C","[3]"
"PB15","OffPage","main","3","SCHEMATIC1","J3.10","450","290","3C","[6]"
